resource_key	step_number	title	description	sort_order
step-01	01	콘텐츠·정보 유입	"Indiadesk의 피드·프레스·기관 네트워크를 통해 기업과 제품 기회를 유입하고, 멤버십·e카탈로그·오더 요청으로 전환한다.

**핵심 흐름**
- 인도 시장정보·제품기회·기업사례를 피드와 프레스로 발행
- 기관·협회·시행사·영업자가 관심 기업을 모집
- 기업은 멤버십, 제품검색, 상담·오더 요청으로 진입
- 공개정보와 보호정보를 분리해 연락처와 거래조건을 통제

**주요 주체**
플랫폼 본사, Indiadesk 운영진, 마케팅 시행사, 영업자, 기관·협회, 콘텐츠 작성자

**수익 연결**
광고·스폰서, 멤버십, e카탈로그 접근권, 번역·프레스, 후속 오더

> 관련 계획서: V2 02·05·08, V3 00·01·02·05·08"	1
step-01/feed-press	01.1	Indiadesk 피드·프레스	"인도 현지 시장정보, 제품, 정책·유통 변화, 기관·행사와 검증사례를 콘텐츠로 발행한다.

**운영 기준**
- 외부 공개 콘텐츠와 회원 전용 고급정보를 구분
- 공급자 연락처, 민감 가격, 비공개 행사·협상정보는 제한
- 게시물은 초기 운영진 검수 후 승인
- 콘텐츠에서 제품검색, 상담, 오더와 기업등록으로 연결

**성과지표**
조회수보다 기업등록, 보호정보 요청, 상담, 샘플·오더 전환을 우선 관리한다.

> 관련 계획서: V2 05, V3 01·08"	1.1
step-01/membership-catalog	01.2	기업 멤버십·e카탈로그	"기업이 인도 실행망에 진입하는 기본 접근권을 제공한다.

**주요 기능**
- 기업 등록과 니즈 등록
- 등급별 제품정보·공급자 유형·가격대·MOQ·샘플 정보 공개
- 공급자 연락처와 거래조건은 승인 전 비공개
- 샘플, 견적, 소싱, 시장검증 요청을 별도 오더로 전환

**수익**
월 멤버십, 연간 멤버십, 제품정보 열람권, 상세 리포트와 샘플 소싱비

> 관련 계획서: V3 02·04"	1.2
step-01/institution-event	01.3	기관·행사 기업 유입	"기관·협회·지자체·테크노파크와 IBS 현지행사를 기업 모집 채널로 활용한다.

**진행 흐름**
1. 기관 브리핑 또는 참가기업 모집
2. 기업·제품 자료 접수와 적합성 검토
3. 멤버십·시장검증·행사 참가로 분류
4. 유효기업을 쇼룸·바이어·수출입 프로젝트로 전환

**수익**
기관 브리핑, 기업모집·운영비, 행사 참가 기획비와 후속 프로젝트 수익

> 관련 계획서: V2 06·07·08, V3 05·05-1"	1.3
step-01/translation-content	01.4	번역·콘텐츠 전환	"제품소개서, 상세페이지, 바이어 제안문, 계약 관련 문서와 프레스 콘텐츠를 현지어로 전환한다.

**담당 구조**
- 힌디어: 문일도 이사 또는 지정 인력
- 영어·기타 언어: 운영진이 지정한 전문가
- 운영진 검수 후 고객 전달

**후속 연결**
번역 결과는 바이어 접촉, 샘플 테스트, 프레스 노출, 행사와 수출입 오퍼의 기초자료로 사용한다.

> 관련 계획서: V2 05·08, V3 08"	1.4
step-02	02	파트너 선발·교육	"한국 영업 파트너를 선발하고 IBS 기본과정과 고급과정을 통해 영업과 현지 실행 인력을 분리 양성한다.

**핵심 흐름**
- 시행사·고객 인프라를 활용해 참가자 모집
- 1기 20명 선발과 30일 IBS 현지 기본과정
- 수료 후 공식 영업 파트너 활동계약
- 우수 인원은 IBS 거주형 고급과정과 현지 프로젝트에 배치

**통제**
직함, 영업권한, 견적·할인 승인, 리드 등록, 고객우회 금지와 정산기준을 계약으로 관리한다.

> 관련 계획서: V1 03·04·05·07, V2 04·09"	2
step-02/recruitment	02.1	한국 시행사·영업자 모집	"마케팅 시행사는 교육생과 기업을 모집하고 설명회·상담·고객관리를 수행한다.

**역할 구분**
- 시행사: 캠페인, 모집, 심사 지원, CS와 환불책임
- 영업자: 기업 발굴, 자료수집, 의사결정자 관리, 계약 전환
- 플랫폼 본사: 가격·상품·계약·승인·정산 통제

시행사 소속 영업자의 지급경로는 시행사 내부 지급 또는 플랫폼 직접 지급 중 하나로 사전 확정한다.

> 관련 계획서: V1 03·07, V2 04·09"	2.1
step-02/basic-course	02.2	IBS 1개월 기본과정	"인도 IBS 센터에서 30일 숙박형 실무교육을 진행한다.

**교육 범위**
- 인도 법인·공장·인증·특허·수출 조건
- 인도 문화·지역·언어·협상 방식
- 부동산, 주거, 사무실, 현장 일정
- 기업 진단, 표준상담, 자료 정리와 영업 윤리

수료자는 한국에서 기업 유입과 초기상담을 담당하는 공식 영업 파트너 후보가 된다.

> 관련 계획서: V1 04, V2 04"	2.2
step-02/advanced-course	02.3	IBS 거주형 고급과정	"기본과정 수료자 중 실행 역량이 확인된 인원을 선발해 인도 현지 수행원으로 양성한다.

**주요 업무**
현장조사, 바이어 접촉, 샘플·물류, 통역, 쇼룸·행사, 법인·부동산 프로젝트 보조

**운영 원칙**
생활·안전, 프로젝트 권한, 산출물, 평가와 수익배분을 별도 고급과정 계약으로 관리한다.

> 관련 계획서: V1 05, V2 04·07"	2.3
step-02/contracts-permission	02.4	수료·계약·권한 관리	"수료 이후 실제 활동 권한과 책임을 계약과 시스템으로 확정한다.

**필수 관리**
- 공인 영업 파트너 활동계약
- NDA·고객우회·자료반출 금지
- 리드 소유와 공동기여 기록
- 지정 명함·메일과 대외 문구 승인
- 자격정지, 재교육, 등급 갱신과 기기 제한

> 관련 계획서: V1 03·07·10·11, V2 09·11·12"	2.4
